Grade,Strand,Anchor Standard,Code,Benchmark
5,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",5.4.20.1,"Identify examples of self-government and sovereignty before the United States became a country by examining multiple primary sources, including Indigenous sources."
5,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",5.4.20.2,"Analyze a primary source from the Revolutionary era by interpreting the historical context, intended audience, purpose and author's point of view and identifying what perspectives and narratives are absent from the source."
5,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,5.4.21.1,"Explain the religious, political and economic reasons for the movement of people from Europe to the Americas and examine the impact of colonization and settler colonialism on Indigenous peoples."
5,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,5.4.21.2,Explain the difference between indentured servitude and chattel slavery in colonial North America and identify the transatlantic slave route on a map.
5,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,5.4.22.1,"Describe Indigenous efforts today to revitalize and reclaim Indigenous languages, traditions and sovereignty."
5,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",5.5.23.1,"Investigate name origins, identity and how language can be exclusionary and liberatory."
5,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,5.5.24.1,"Analyze anti-colonial and anti-racist resistance movements of culturally, racially and ethnically diverse people throughout the world."
5,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,5.5.25.1,Explore the history of surveillance and oversight in early America and examine their ties to contemporary systems and structures of surveillance and oversight.
6,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,6.1.1.1,"Analyze a state or local policy issue by identifying and examining opposing positions from diverse perspectives and frames of reference, interpreting and applying graphic data, determining conflicting values and beliefs, defending and justifying a position with evidence, and developing strategies to persuade others to adopt this position."
6,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",6.1.2.1,Locate a democratic principle embodied in the Constitution of the State of Minnesota or in one of Minnesota's Tribal Nations' constitutions. Summarize the concept of federalism and describe the relationship between the powers of the federal and state governments.
6,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",6.1.3.1,"Summarize the concept of citizenship in the United States, explain how individuals become citizens by birth or naturalization, and compare and contrast the rights and responsibilities of citizens, noncitizens and dual citizens."
6,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",6.1.4.1,"Identify the purpose of the Constitution of the State of Minnesota and explain how the Constitution of the State of Minnesota organizes state government and authorizes local government (county, city, school board and township). Compare and contrast the ways state and local government are funded."
6,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",6.1.4.2,"Describe the goals, offenses, penalties, long-term consequences and privacy concerns of Minnesota's juvenile justice system and evaluate the impact on youth, including those from historically disenfranchised groups."
6,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",6.1.6.1,Explain the concept of sovereignty and how treaty rights are exercised by the Anishinaabe and Dakota today.
6,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",6.2.9.1,Describe various types of income. Explain the role that the development of human capital plays in determining one's income. Create a budget based on a given monthly income.
6,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,6.2.11.1,"Describe the movement of goods and services, resources and money through markets at the community, national and global level."
6,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,6.2.11.2,"Explain how people living in a community are impacted by government policies regarding land use. Investigate how communities are impacted when consumers have or do not have opportunities to work, shop, eat and connect with one another locally, helping the community build assets."
6,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,6.2.12.1,Explain why companies might move production to other states or countries.
6,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",6.3.13.1,Use geospatial technologies to create and interpret fixed and dynamic maps that represent Mni Sóta Ma?oce and Minnesota.
6,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",6.3.13.2,Use geographic tools to support a claim with evidence and explain reasoning to address a spatial problem within Minnesota.
6,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",6.3.14.1,"Compare and contrast different places and regions on the land that is Minnesota today, including how power structures have impacted each one over time."
6,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",6.3.15.1,"Explain how physical features and the location of resources affect settlement patterns, including those of Dakota and Anishinaabe peoples, and the growth of cities."
6,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",6.3.16.1,Evaluate how two (or more) different communities address the issues related to climate change in Minnesota.
6,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",6.4.18.1,"Describe how Dakota and Anishinaabe people today narrate their own history, including seasonal lifeways in the pre-contact period."
6,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",6.4.18.2,"Describe the varied and diverse interactions of Indigenous people, European/American traders and settler-colonists in the upper Mississippi River region, and examine how settler colonialism conflicted with Dakota and Anishinaabe ways of life."
6,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",6.4.18.3,"Describe how people in Minnesota participated in the institution of slavery, abolition and the U.S. Civil War, identifying examples of change and continuity."
6,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",6.4.18.4,"Analyze connections between major reform and political movements in Minnesota during the Progressive era and World War I, including the role of women."
6,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",6.4.18.5,Identify multiple narratives about how World War II and the Cold War impacted Minnesotans.
6,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",6.4.19.1,"Understand the diverse and conflicting ways that Dakota, Anishinaabe, European and American peoples understood their relationship to the land, particularly regarding property and ownership, and examine the consequences of these conflicting views on the environment over time."
6,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",6.4.19.2,"Identify and describe diverse and conflicting points of view about treaty-making, including the unequal power dynamics that shaped the treaty-making process."
6,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",6.4.19.3,"Examine conflicting narratives about the United States-Dakota War of 1862. Analyze the perspectives of settlers and Dakota people before, during and after the war. Identify the narratives that are absent."
6,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",6.4.20.1,Evaluate primary and secondary sources about the process by which Minnesota became a territory and state; consider what perspectives and narratives are absent from the available sources.
6,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,6.4.21.1,"Evaluate the impact of big business, industrialization, farming and/or technology on the use of natural resources within different communities in Minnesota. Organize applicable evidence into a coherent argument about the past."
6,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,6.4.21.2,"Construct a narrative about why and how people have migrated to Minnesota as a result of warfare and/or genocide since 1960, using primary sources about immigrant experiences."
6,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,6.4.22.1,Examine the historical relationship and memorialization of the U.S. Civil War and the U.S.-Dakota War of 1862 in Minnesota.
6,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,6.4.22.2,"Examine the history and memory of migration and immigration in Minnesota during the late 19th and early 20th centuries, including the impact of immigration on Indigenous people."
6,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,6.4.22.3,Identify and describe how Minnesotans have fought for freedom and equality from the Civil Rights era until today.
6,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",6.5.23.1,"Identify and explain how discrimination based on race, gender, economic, ableism, and social group identity affects the history, health, growth, and/or current experiences of residents of Minnesota."
6,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,6.5.24.1,Examine how and why the Minnesota landscape has been shaped by people.
6,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,6.5.24.2,"Identify individuals, community organizations, businesses and corporations that make the student's community in Minnesota unique. Analyze how these groups do community building efforts, specifically by racialized and marginalized groups/individuals in Minnesota."
6,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,6.5.24.3,"Identify how the arts have been a part of strategies, activities and/or engagement for social and political change."
6,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,6.5.25.1,Examine the impact of slavery and race in Minnesota today.
7,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,7.1.1.1,Participate in civil discourse on issues in the contemporary United States and evaluate arguments including identifying pros and cons.
7,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",7.1.2.1,"Evaluate how well principles expressed in the Declaration of Independence and preamble to the U.S. Constitution have been applied throughout United States history, including how they have evolved (if applicable) over time."
7,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",7.1.3.1,"Explain landmark Supreme Court decisions involving the Bill of Rights and other individual protections. Explain how these decisions helped define the scope and limits of personal, political and economic rights."
7,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",7.1.4.1,"Describe how laws are created. Classify the differences between civil, criminal, tribal and juvenile law. Give examples of local, state, federal and tribal laws. Describe the constitutional amendment process and the impact of voting amendments to explain changes in voting laws and election processes."
7,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,7.1.5.1,"Explain how political parties, interest groups, various types of media and public opinion shape public policy formation."
7,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",7.1.6.1,Explain the impacts of treaties and policies from the perspectives of the United States and Tribal Nations and analyze ways in which Tribal Nations are seeking to enforce treaty rights.
7,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,7.2.7.1,"Using cost-benefit analysis, analyze the opportunity cost of a decision made in U.S. history during times of war."
7,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",7.2.8.1,Explain different ways that goods and services can be allocated when scarcity exists.
7,2. Economics,"9. Personal Finance: Apply economic concepts and models to develop individual and collective financial goals and strategies for achieving these goals, taking into consideration historical and contemporary conditions that either inhibit or advance the creation of individual and generational wealth.",7.2.9.1,"Apply reasoned decision-making techniques, using primary sources. Explain why different groups across different cultures and communities may prioritize different values when faced with the same alternatives."
7,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",7.2.10.1,"Explain how profit can be an incentive for entrepreneurs to develop medical breakthroughs, new technology, green energy and other benefits to society, but the profit motive can also lead to negative outcomes including resource exploitation and unfair labor practices."
7,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,7.2.12.1,Distinguish between groups that benefit and that are hurt by a specific trade policy.
7,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",7.3.13.1,"Create and evaluate fixed and dynamic maps from different places, times and perspectives using geospatial technologies."
7,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",7.3.13.2,Investigate spatial questions to make claims and support them with evidence from maps.
7,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",7.3.14.1,Describe how physical and human characteristics and power structures influence the function of places over time.
7,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",7.3.15.1,"Analyze patterns of movement concerning migration of peoples, movement of goods and ideas, trade networks, and interconnections between places that impacted life in the American colonies."
7,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,7.3.17.1,"Evaluate political, economic, spatial and historical perspectives used to justify the displacement/removal of Indigenous peoples throughout the past in the United States."
7,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",7.4.18.1,"Compare and contrast the impact of the Civil War and Reconstruction on different groups in the United States and its territories, and identify one dominant narrative and one non-dominant narrative."
7,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",7.4.18.2,"Describe the effects of racism and legalized segregation on American society, including the compromise of 1876, the rise of ""Jim Crow,"" immigration restrictions and Indian Removal."
7,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",7.4.18.3,"Analyze connections between World War II, Fascism and the Holocaust. Identify the relationship between individuals' experiences of these events and broader historical contexts."
7,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",7.4.18.4,Trace the origins of the Long Civil Rights Movement by identifying key events and explaining their significance.
7,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",7.4.19.1,Examine the history of U.S. expansion from multiple Indigenous perspectives.
7,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",7.4.19.2,"Analyze multiple perspectives (social, political, economic) about the Cold War and describe why some perspectives may have changed over time."
7,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",7.4.20.1,Use historical sources to describe the strategies used by suffragists in their campaigns to secure the right to vote. Determine whose voices are represented and whose voices are absent in the sources. Identify the 19th Amendment.
7,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",7.4.20.2,"Generate questions based on multiple historical sources and identify further areas of inquiry about the Great Depression, focusing on the impact on workers, women, and ethnic and racial minorities."
7,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",7.4.20.3,"Evaluate the credibility of sources about a historical event found on the internet by determining (if possible) how and why the sources were created, how they were circulated, their intended audience and whether the source contains citations."
7,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,7.4.21.1,"Construct an argument using evidence from multiple sources, including primary sources, about the relationship between freedom and slavery in the early U.S. Republic."
7,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,7.4.21.2,"Compare and contrast the central arguments in secondary works of history to examine the changing role of the United States on a global scale, including overseas expansion and the impact of U.S. involvement in World War I."
7,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,7.4.21.3,"Create a timeline of major technological, economic and/or social changes in the United States since the mid-20th century. Analyze the intended and unintended impact of those changes. Evaluate the relative influence of various causes of events and developments."
7,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,7.4.22.1,"Generate a hypothesis about the impact of the Industrial Revolution today using historical and geographic sources, including environmental and economic impacts."
7,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,7.4.22.2,"Identify a pressing contemporary issue in the student's community or the United States, examine its historical context and design a plan to address it."
7,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",7.5.23.1,"Examine the benefits and consequences of power and privilege on issues associated with poverty, income and the accumulation of wealth."
7,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,7.5.24.1,"Examine the goals and actions of community groups, organizations and other freedom movements that fought against injustices (i.e., local, national and global)."
7,5. Ethnic Studies,24. Resistance: Describe how individuals and communities have fought for freedom and liberation against systemic and coordinated exercises of power locally and globally. Identify strategies or times that have resulted in lasting change. Organize with others to engage in activities that could further the rights and dignity of all.,7.5.24.2,Investigate the struggle for immigration rights and the rights of all immigrants in the United States.
7,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,7.5.25.1,Examine the impact and memory of U.S. expansion and native dispossession today and how it's memorialized.
7,5. Ethnic Studies,25. Ways of Knowing and Methodologies: Use ethnic and Indigenous studies methods and sources in order to understand the roots of contemporary systems of oppression and apply lessons from the past that could eliminate historical and contemporary injustices.,7.5.25.2,"Examine the impact and legacy of the Civil Rights Movement, the American Indian Movement (AIM) and the women's rights movement today. Compare and contrast strategies and objectives of movements today with movements in the past."
8,1. Citizenship and Government,1. Civic Skills: Apply civic reasoning and demonstrate civic skills for the purpose of informed and engaged lifelong civic participation.,8.1.1.1,Participate in civil discourse on contemporary global issues in the world and evaluate arguments including identifying pros and cons.
8,1. Citizenship and Government,"2. Democratic Values and Principles: Explain democratic values and principles that guide governments, societies and communities. Analyze the tensions within the United States constitutional government.",8.1.2.1,Identify and evaluate democratic principles in different world constitutions. Compare and contrast various systems of government and their methods of maintaining order and/or control.
8,1. Citizenship and Government,"3. Rights and Responsibilities: Explain and evaluate rights, duties and responsibilities in democratic society.",8.1.3.1,Analyze the role of the Universal Declaration of Human Rights (UDHR) and non-governmental organizations in how human rights have been addressed in different countries.
8,1. Citizenship and Government,"4. Governmental Institutions and Political Processes: Explain and evaluate processes, rules and laws of United States governmental institutions at local, state and federal levels and within Tribal Nations.",8.1.4.1,"Compare and contrast the structures, foundations, powers, alliances and limitations of the United States government with the United Nations."
8,1. Citizenship and Government,5. Public Policy: Analyze how public policy is shaped by governmental and non-governmental institutions. Analyze how people and communities take action to solve problems and shape public policy.,8.1.5.1,"Explain why governments belong to different types of alliances and international organizations, and describe how they influence public policy."
8,1. Citizenship and Government,"6. Tribal Nations: Evaluate the unique political status, trust relationships and governing structures of sovereign Tribal Nations and the United States.",8.1.6.1,"Compare the values, principles and rights in tribal constitutions with the U.S. Constitution."
8,2. Economics,7. Economic Inquiry: Use economic models and reasoning and data analysis to construct an argument and propose a solution related to an economic question. Evaluate the impact of the proposed solution on various communities that would be affected.,8.2.7.1,Evaluate the impact of different economic systems on socioeconomic development.
8,2. Economics,"8. Fundamental Economic Concepts: Analyze how scarcity and artificial shortages force individuals, organizations, communities, and governments to make choices and incur opportunity costs. Analyze how the decisions of individuals, organizations, communities, and governments affect economic equity and efficiency.",8.2.8.1,"Identify characteristics and goals of traditional, command, mixed and market-based economies."
8,2. Economics,"10. Microeconomics: Explain and evaluate how resources are used and how goods and services are distributed within different economic systems. Analyze how incentives influence the decisions of consumers, producers, and governments. Evaluate the intended and unintended consequences of these decisions from multiple perspectives.",8.2.10.1,"Explain how the individual decisions of consumers, producers and government can impact the whole society in both positive and negative ways."
8,2. Economics,11. Macroeconomics: Measure and evaluate the well-being of nations and communities using a variety of indicators. Explain the causes of economic ups and downs. Evaluate how government actions affect a nation's economy and individuals' well-being within an economy.,8.2.11.1,Identify factors that affect economic growth (percentage changes in real gross domestic product [GDP]) and lead to a different standard of living in different nations and within nations.
8,2. Economics,12. Global and International: Explain why people trade and why nations encourage or limit trade. Analyze the costs and benefits of international trade and globalization on communities and the environment.,8.2.12.1,Explain how global trade helps people and countries obtain goods and services they could not produce (or produce affordably) for themselves.
8,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",8.3.13.1,Use geospatial technologies to create and interpret maps. Evaluate which geographic tools to apply in different situations.
8,3. Geography,"13. Geospatial Skills and Inquiry: Apply geographic tools, including geospatial technologies, and geographic inquiry to solve spatial problems.",8.3.13.2,"Apply multiple perspectives to the geographic inquiry process (ask, acquire, analyze, answer, act) to solve spatial problems."
8,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",8.3.14.1,Explain how physical and human characteristics influence how people live in different places.
8,3. Geography,"14. Places and Regions: Describe places and regions, explaining how they are influenced by power structures.",8.3.14.2,Describe regions according to specific criteria and identify the role of power structures in constructing regions.
8,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",8.3.15.1,Explain patterns of demographic changes and cultural diffusion from a local to global scale.
8,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",8.3.15.2,Explain how distribution of natural resources influences political systems (societies). Analyze a regional example from both developing and developed regions.
8,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",8.3.15.3,Explain how cultural characteristics influence changes in population. Analyze a regional example from both developing and developed regions.
8,3. Geography,"15. Human Systems: Analyze patterns of movement and interconnectedness within and between cultural, economic and political systems from a local to global scale.",8.3.15.4,Describe urbanization patterns. Analyze a regional example from both developing and developed regions.
8,3. Geography,"16. Human-Environment Interaction: Evaluate the relationship between humans and the environment, including climate change.",8.3.16.1,Ask spatial questions to investigate the relationship between the environment and human activities and their impact on climate change.
8,3. Geography,17. Culture: Investigate how sense of place is impacted by different cultural perspectives.,8.3.17.1,Ask and answer questions about how physical and human characteristics influence one's sense of place and that of others.
8,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",8.4.18.1,Describe political challenges and struggles of newly independent countries since World War II.
8,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",8.4.18.2,Describe causes of economic imbalances and social inequalities among the world's peoples in the post-colonial world and efforts made to close those gaps.
8,4. History,"18. Context, Change, and Continuity: Ask historical questions about context, change and continuity in order to identify and analyze dominant and non-dominant narratives about the past.",8.4.18.3,"Analyze connections between revolutions, independence movements and social transformations since World War II from various perspectives."
8,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",8.4.19.1,"Assess the influence of television, the Internet, and other media on cultural identity, gender identity, and social and political movements."
8,4. History,"19. Historical Perspectives: Identify diverse points of view, and describe how one's frame of reference influences historical perspective.",8.4.19.2,"Describe varieties of spiritual and religious beliefs and practices in the contemporary world, including, but not limited to, Shamanism/Animism, Hinduism, Jainism, Buddhism, Sikhism, Judaism, Christianity, Islam, Indigenous religious traditions in Africa and the Americas, and African diasporic religions."
8,4. History,"20. Historical Sources and Evidence: Investigate a variety of historical sources by: a) analyzing primary and secondary sources; b) identifying perspectives and narratives that are absent from the available sources; and c) interpreting the historical context, intended audience, purpose, and author's point of view of these sources.",8.4.20.1,"Use primary and secondary sources to analyze how individuals, groups, and societies around the world have been affected by genocide, the Holocaust, and mass violence, including communities resettled in Minnesota."
8,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,8.4.21.1,"Describe the development of at least one diasporic community throughout the world since 1950 due to regional conflicts, changing international labor demands and/or environmental factors."
8,4. History,21. Causation and Argumentation: Integrate evidence from multiple historical sources and interpretations into a reasoned argument or compelling narrative about the past.,8.4.21.2,"Describe how movements, political and social conditions, and new technologies have affected the lives of women in different parts of the world since 1950."
8,4. History,22. Connecting Past and Present: Use historical methods and sources to identify and analyze the roots of a contemporary issue. Design a plan to address it.,8.4.22.1,"Using historical analysis, predict a future global issue and make a hypothesis about its impact."
8,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",8.5.23.1,Examine the cultures and histories of one or more ethnic groups who have immigrated to Minnesota since the 1950s.
8,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",8.5.23.2,Examine one or more of the major circumstances leading to the arrival of new immigrants and refugee groups to Minnesota since the 1950s.
8,5. Ethnic Studies,"23. Identity: Analyze the ways power and language construct the social identities of race, religion, geography, ethnicity, and gender. Apply these understandings to one's own social identities and other groups living in Minnesota, centering those whose stories and histories have been marginalized, erased, or ignored.",8.5.23.3,"Examine economic patterns of migration locally and nationally and explore push-and-pull factors that lead to economic investment, divestment and destabilization."
